epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.21651746332645416,1.889683485031128,1e-04,0.3567846119403839,1.672417402267456
1,0.30864885449409485,1.7429471015930176,1e-04,0.4387015998363495,1.5073035955429077
2,0.36361420154571533,1.6458593606948853,1e-04,0.4260239601135254,1.4938486814498901
3,0.39235082268714905,1.58141028881073,1e-04,0.46001672744750977,1.444560170173645
4,0.41147375106811523,1.5392402410507202,1e-04,0.44260239601135254,1.4737273454666138
5,0.4251628518104553,1.5007802248001099,1e-04,0.4725550413131714,1.3792965412139893
6,0.441812664270401,1.4500960111618042,1e-04,0.47088325023651123,1.3960539102554321
7,0.44439026713371277,1.4324311017990112,1e-04,0.5019503831863403,1.3114792108535767
8,0.45463094115257263,1.415086269378662,1e-04,0.49763163924217224,1.3122589588165283
9,0.4633738696575165,1.3902711868286133,1e-04,0.4640568494796753,1.394693374633789
10,0.46898186206817627,1.3716198205947876,1e-04,0.5126776099205017,1.2784134149551392
11,0.47702810168266296,1.3514155149459839,1e-04,0.5101699829101562,1.2952204942703247
12,0.4874778091907501,1.3123106956481934,1e-04,0.5022290349006653,1.3089754581451416
13,0.4812776446342468,1.317341923713684,1e-04,0.5029256343841553,1.2935123443603516
