epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.279954731464386,12.466973304748535,1e-04,0.11879463493824005,13.877361297607422
1,0.35810694098472595,10.28096866607666,1e-04,0.395227313041687,9.74169921875
2,0.40613025426864624,8.282649993896484,1e-04,0.4316321313381195,7.477953910827637
3,0.444487988948822,6.5694451332092285,1e-04,0.4770945906639099,5.80530309677124
4,0.4796673655509949,5.183764457702637,1e-04,0.49085524678230286,4.6479387283325195
5,0.5023946166038513,4.137552261352539,1e-04,0.5065319538116455,3.7230145931243896
6,0.5302159786224365,3.3452088832855225,1e-04,0.5361435413360596,3.022892713546753
7,0.5549460053443909,2.7633798122406006,1e-04,0.551297664642334,2.5957467555999756
8,0.5698798298835754,2.3523454666137695,1e-04,0.5624455809593201,2.235036611557007
9,0.5961337685585022,2.043257474899292,1e-04,0.5006096363067627,2.2693660259246826
10,0.6094130873680115,1.817468523979187,1e-04,0.5626197457313538,1.8548002243041992
11,0.6296151280403137,1.6396983861923218,1e-04,0.5765545964241028,1.747043490409851
12,0.6525165438652039,1.4973801374435425,1e-04,0.5769029855728149,1.673007845878601
13,0.6789010763168335,1.369838833808899,1e-04,0.584567129611969,1.608900547027588
14,0.7050679326057434,1.267041802406311,1e-04,0.5838704109191895,1.5951377153396606
15,0.7326279878616333,1.1604753732681274,1e-04,0.5943215489387512,1.5562024116516113
16,0.7624521255493164,1.0686734914779663,1e-04,0.6084305644035339,1.5401769876480103
17,0.7854406237602234,0.9858547449111938,1e-04,0.61957848072052,1.5073155164718628
18,0.8069487810134888,0.9124355912208557,1e-04,0.6173140406608582,1.4825259447097778
19,0.8311128616333008,0.8441721796989441,1e-04,0.5997213125228882,1.5353575944900513
