epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.22209160029888153,12.459349632263184,1e-04,0.142658069729805,14.250873565673828
1,0.24255485832691193,10.239558219909668,1e-04,0.21808047592639923,9.981513023376465
2,0.24216300249099731,8.142888069152832,1e-04,0.25674968957901,7.818328380584717
3,0.24869383871555328,6.332798480987549,1e-04,0.2607559561729431,6.4059953689575195
4,0.2508707642555237,4.922478675842285,1e-04,0.2415955364704132,4.7309980392456055
5,0.2684604525566101,3.8903281688690186,1e-04,0.2720780372619629,3.495290517807007
6,0.26819923520088196,3.1677114963531494,1e-04,0.28043895959854126,2.8726139068603516
7,0.28661617636680603,2.668252468109131,1e-04,0.3043023943901062,2.4555506706237793
8,0.29993903636932373,2.3458635807037354,1e-04,0.26232364773750305,2.26491379737854
9,0.3311564028263092,2.1130590438842773,1e-04,0.31301167607307434,2.219740390777588
10,0.3671630024909973,1.9394291639328003,1e-04,0.3642222583293915,1.8842540979385376
11,0.4009491503238678,1.8203140497207642,1e-04,0.42396795749664307,1.731140375137329
12,0.4316875636577606,1.724310040473938,1e-04,0.45044416189193726,1.6491327285766602
13,0.4541100561618805,1.646721601486206,1e-04,0.45793417096138,1.6124449968338013
14,0.47557470202445984,1.590867042541504,1e-04,0.4673401713371277,1.576902151107788
15,0.4855450987815857,1.5432357788085938,1e-04,0.4812750518321991,1.5493521690368652
16,0.494209349155426,1.5113898515701294,1e-04,0.5007838606834412,1.4804301261901855
17,0.50444096326828,1.4776252508163452,1e-04,0.5025256872177124,1.4712409973144531
18,0.5163270831108093,1.4569605588912964,1e-04,0.5175056457519531,1.4294384717941284
19,0.5203761458396912,1.4320086240768433,1e-04,0.5241247415542603,1.4231890439987183
20,0.5336119532585144,1.3978641033172607,1e-04,0.5077512860298157,1.4424375295639038
21,0.5333071947097778,1.3922473192214966,1e-04,0.5187249779701233,1.4117687940597534
22,0.5416666865348816,1.3775956630706787,1e-04,0.5488590598106384,1.3543792963027954
23,0.5462382435798645,1.3615350723266602,1e-04,0.5223828554153442,1.4224170446395874
24,0.5524207353591919,1.3497320413589478,1e-04,0.5514718890190125,1.3393715620040894
25,0.5549024939537048,1.3334590196609497,1e-04,0.5561748743057251,1.3269850015640259
26,0.5554249286651611,1.3351260423660278,1e-04,0.5267375111579895,1.385059118270874
27,0.5623475909233093,1.3152709007263184,1e-04,0.5554781556129456,1.3221094608306885
28,0.5625653266906738,1.31330144405365,1e-04,0.545897901058197,1.367006540298462
29,0.566962718963623,1.299178957939148,1e-04,0.5222086906433105,1.4471086263656616
30,0.569487988948822,1.299134373664856,1e-04,0.5422400236129761,1.387975811958313
